==============  Decimal Degrees  =============                 =========== Degrees, Decimal Minutes  ==========
 North      South        East         West        Page Ref       North       South        East         West    
38.500000  38.000000  -120.875000  -121.312500     Page 97     N38 30.000  N38 00.000  W120 52.500  W121 18.750
38.500000  38.000000  -120.437500  -120.875000     Page 98     N38 30.000  N38 00.000  W120 26.250  W120 52.500
38.500000  38.000000  -120.000000  -120.437500     Page 99     N38 30.000  N38 00.000  W120 00.000  W120 26.250
38.500000  38.000000  -119.562500  -120.000000     Page 100    N38 30.000  N38 00.000  W119 33.750  W120 00.000
38.500000  38.000000  -119.125000  -119.562500     Page 101    N38 30.000  N38 00.000  W119 07.500  W119 33.750
38.441667  38.000000  -118.687500  -119.125000     Page 102    N38 26.500  N38 00.000  W118 41.250  W119 07.500
38.000000  37.500000  -122.625000  -123.062500     Page 103a   N38 00.000  N37 30.000  W122 37.500  W123 03.750
38.133333  38.000000  -118.483333  -118.687500     Page 103b   N38 08.000  N38 00.000  W118 29.000  W118 41.250
38.000000  37.500000  -122.187500  -122.625000     Page 104    N38 00.000  N37 30.000  W122 11.250  W122 37.500
38.000000  37.500000  -121.750000  -122.187500     Page 105    N38 00.000  N37 30.000  W121 45.000  W122 11.250
38.000000  37.500000  -121.312500  -121.750000     Page 106    N38 00.000  N37 30.000  W121 18.750  W121 45.000
38.000000  37.500000  -120.875000  -121.312500     Page 107    N38 00.000  N37 30.000  W120 52.500  W121 18.750
38.000000  37.500000  -120.437500  -120.875000     Page 108    N38 00.000  N37 30.000  W120 26.250  W120 52.500
38.000000  37.500000  -120.000000  -120.437500     Page 109    N38 00.000  N37 30.000  W120 00.000  W120 26.250
38.000000  37.500000  -119.562500  -120.000000     Page 110    N38 00.000  N37 30.000  W119 33.750  W120 00.000
38.000000  37.500000  -119.125000  -119.562500     Page 111    N38 00.000  N37 30.000  W119 07.500  W119 33.750
38.000000  37.500000  -118.687500  -119.125000     Page 112    N38 00.000  N37 30.000  W118 41.250  W119 07.500
38.000000  37.500000  -118.250000  -118.687500     Page 113    N38 00.000  N37 30.000  W118 15.000  W118 41.250
37.500000  37.000000  -122.187500  -122.625000     Page 114a   N37 30.000  N37 00.000  W122 11.250  W122 37.500
37.796944  37.500000  -117.866667  -118.250000     Page 114b   N37 47.817  N37 30.000  W117 52.000  W118 15.000
37.500000  37.000000  -121.750000  -122.187500     Page 115    N37 30.000  N37 00.000  W121 45.000  W122 11.250
37.500000  37.000000  -121.312500  -121.750000     Page 116    N37 30.000  N37 00.000  W121 18.750  W121 45.000
37.500000  37.000000  -120.875000  -121.312500     Page 117    N37 30.000  N37 00.000  W120 52.500  W121 18.750
37.500000  37.000000  -120.437500  -120.875000     Page 118    N37 30.000  N37 00.000  W120 26.250  W120 52.500
37.500000  37.000000  -120.000000  -120.437500     Page 119    N37 30.000  N37 00.000  W120 00.000  W120 26.250
37.500000  37.000000  -119.562500  -120.000000     Page 120    N37 30.000  N37 00.000  W119 33.750  W120 00.000
37.500000  37.000000  -119.125000  -119.562500     Page 121    N37 30.000  N37 00.000  W119 07.500  W119 33.750
37.500000  37.000000  -118.687500  -119.125000     Page 122    N37 30.000  N37 00.000  W118 41.250  W119 07.500
37.500000  37.000000  -118.250000  -118.687500     Page 123    N37 30.000  N37 00.000  W118 15.000  W118 41.250
37.500000  37.000000  -117.812500  -118.250000     Page 124    N37 30.000  N37 00.000  W117 48.750  W118 15.000
37.500000  37.000000  -117.203889  -117.812500     Page 125    N37 30.000  N37 00.000  W117 12.233  W117 48.750
